LetterboxdURI,Title,Year
https://letterboxd.com/film/happy-kanakos-killer-life/,Happy Kanako's Killer Life,2025
https://letterboxd.com/film/hana-alice/,Hana & Alice,2004
https://letterboxd.com/film/close-2022/,Close,2022
https://letterboxd.com/film/ran/,Ran,1985
https://letterboxd.com/film/the-worst-person-in-the-world/,The Worst Person in the World,2021
https://letterboxd.com/film/the-handmaiden/,The Handmaiden,2016
https://letterboxd.com/film/cinema-paradiso/,Cinema Paradiso,1988
https://letterboxd.com/film/amelie/,Amélie,2001
https://letterboxd.com/film/city-of-god/,City of God,2002
https://letterboxd.com/film/yi-yi/,Yi Yi,2000
https://letterboxd.com/film/the-sacrifice/,The Sacrifice,1986
https://letterboxd.com/film/cure/,Cure,1997
https://letterboxd.com/film/three-colours-red/,Three Colours: Red,1994
https://letterboxd.com/film/perfect-days-2023/,Perfect Days,2023
https://letterboxd.com/film/the-hunt-2012/,The Hunt,2012
https://letterboxd.com/film/la-haine/,La Haine,1995
https://letterboxd.com/film/in-the-mood-for-love/,In the Mood for Love,2000
https://letterboxd.com/film/past-lives/,Past Lives,2023
https://letterboxd.com/film/lilya-4-ever/,Lilya 4-ever,2002
https://letterboxd.com/film/parasite-2019/,Parasite,2019
https://letterboxd.com/film/memories-of-murder/,Memories of Murder,2003
https://letterboxd.com/film/a-good-year/,A Good Year,2006
https://letterboxd.com/film/pather-panchali/,Pather Panchali,1955
https://letterboxd.com/film/raavanan/,Raavanan,2010
https://letterboxd.com/film/charlie-2015/,Charlie,2015
https://letterboxd.com/film/sairat/,Sairat,2016
https://letterboxd.com/film/village-rockstars/,Village Rockstars,2017
https://letterboxd.com/film/little-forest/,Little Forest,2018
https://letterboxd.com/film/kumbalangi-nights/,Kumbalangi Nights,2019
https://letterboxd.com/film/petite-maman/,Petite Maman,2021
https://letterboxd.com/film/vaazhai/,Vaazhai,2024
https://letterboxd.com/film/all-we-imagine-as-light/,All We Imagine as Light,2024
https://letterboxd.com/film/taste-of-cherry/,Taste of Cherry,1997
https://letterboxd.com/film/call-me-by-your-name/,Call Me by Your Name,2017
https://letterboxd.com/film/aftersun/,Aftersun,2022
https://letterboxd.com/film/bones-and-all/,Bones and All,2022
https://letterboxd.com/film/bird-2024/,Bird,2024
https://letterboxd.com/film/fish-tank/,Fish Tank,2009
https://letterboxd.com/film/the-graduate/,The Graduate,1967
https://letterboxd.com/film/the-virgin-suicides/,The Virgin Suicides,1999
https://letterboxd.com/film/mysterious-skin/,Mysterious Skin,2004
https://letterboxd.com/film/do-the-right-thing/,Do the Right Thing,1989
https://letterboxd.com/film/manchester-by-the-sea/,Manchester by the Sea,2016
